Generation,MaxFitness,SurvivedCount
0,0.11111,274.00000
1,0.25000,316.00000
2,1.00000,314.00000
3,1.44000,322.00000
4,1.77778,350.00000
5,2.25000,332.00000
6,2.25000,333.00000
7,4.00000,338.00000
8,5.44444,328.00000
9,6.25000,320.00000
10,9.00000,331.00000
11,10.56250,321.00000
12,11.11111,323.00000
13,12.25000,340.00000
14,16.00000,315.00000
15,17.01563,296.00000
16,17.01563,261.00000
17,17.16327,222.00000
18,17.36111,215.00000
19,17.36111,207.00000
20,17.36111,179.00000
21,17.64000,180.00000
22,17.64000,182.00000
23,17.64000,163.00000
24,17.64000,175.00000
25,18.06250,209.00000
26,18.06250,196.00000
27,18.77778,182.00000
28,18.77778,193.00000
29,20.25000,213.00000
30,25.00000,227.00000
31,20.25000,234.00000
32,25.91736,216.00000
33,26.01000,213.00000
34,26.12346,239.00000
35,26.12346,221.00000
36,26.12346,208.00000
37,26.26563,220.00000
38,26.26563,230.00000
39,26.69444,276.00000
40,27.04000,322.00000
41,27.04000,325.00000
42,28.44444,336.00000
43,27.56250,319.00000
44,28.44444,332.00000
45,30.25000,314.00000
46,36.00000,333.00000
47,49.00000,333.00000
48,50.08284,336.00000
49,50.17361,319.00000
50,50.28099,316.00000
51,50.28099,272.00000
52,50.28099,269.00000
53,50.41000,283.00000
54,50.41000,263.00000
55,50.41000,250.00000
56,50.56790,260.00000
57,50.41000,214.00000
58,50.41000,243.00000
59,50.28099,249.00000
60,50.28099,252.00000
61,50.41000,266.00000
62,50.28099,243.00000
63,50.28099,234.00000
64,50.28099,243.00000
65,50.17361,250.00000
66,50.28099,270.00000
67,50.28099,275.00000
68,50.28099,270.00000
69,50.41000,270.00000
70,50.41000,261.00000
71,50.56790,266.00000
72,50.56790,257.00000
73,50.76563,270.00000
74,51.36111,247.00000
75,51.02041,239.00000
76,51.36111,270.00000
77,51.36111,244.00000
78,51.84000,254.00000
79,51.84000,258.00000
80,51.84000,262.00000
81,56.25000,271.00000
82,53.77778,265.00000
83,64.00000,276.00000
84,64.00000,297.00000
85,64.00000,266.00000
86,68.06250,307.00000
87,68.06250,282.00000
88,72.25000,291.00000
89,72.25000,297.00000
90,72.25000,298.00000
91,81.00000,300.00000
92,81.00000,273.00000
93,84.02778,271.00000
94,81.00000,274.00000
95,81.00000,266.00000
96,72.25000,263.00000
97,84.64000,255.00000
98,72.25000,247.00000
99,72.25000,236.00000
100,69.44444,231.00000
101,72.25000,233.00000
102,81.00000,247.00000
103,81.00000,240.00000
104,72.25000,257.00000
105,84.02778,264.00000
106,84.02778,265.00000
107,84.02778,252.00000
108,81.00000,249.00000
109,85.56250,238.00000
110,85.56250,246.00000
111,84.64000,245.00000
112,90.25000,257.00000
113,87.11111,267.00000
114,100.00000,289.00000
115,100.00000,239.00000
116,90.25000,275.00000
117,90.25000,282.00000
118,102.51563,283.00000
119,100.00000,293.00000
120,100.00000,303.00000
121,102.87755,284.00000
122,102.87755,303.00000
123,102.87755,284.00000
124,103.36111,273.00000
125,103.36111,304.00000
126,103.36111,305.00000
127,104.04000,319.00000
128,104.04000,315.00000
129,104.04000,295.00000
130,105.06250,283.00000
131,106.77778,275.00000
132,105.06250,286.00000
133,106.77778,311.00000
134,105.06250,272.00000
135,106.77778,309.00000
136,106.77778,251.00000
137,110.25000,242.00000
138,121.00000,240.00000
139,122.29758,267.00000
140,122.37891,250.00000
141,122.37891,284.00000
142,122.47111,285.00000
143,122.57653,311.00000
144,122.69822,301.00000
145,122.47111,285.00000
146,122.57653,211.00000
147,122.57653,227.00000
148,122.57653,230.00000
149,122.57653,215.00000
150,122.69822,236.00000
151,122.57653,235.00000
152,122.69822,236.00000
153,122.57653,219.00000
154,122.37891,250.00000
155,122.37891,267.00000
156,122.29758,323.00000
157,122.29758,322.00000
158,122.29758,267.00000
159,122.47111,261.00000
160,122.47111,281.00000
161,122.29758,260.00000
162,122.37891,280.00000
163,122.37891,206.00000
164,122.37891,217.00000
165,122.47111,250.00000
166,122.47111,252.00000
167,122.57653,257.00000
168,122.37891,266.00000
169,122.37891,253.00000
170,122.37891,245.00000
171,122.47111,231.00000
172,122.47111,238.00000
173,122.37891,214.00000
174,122.47111,217.00000
175,122.29758,194.00000
176,121.00000,180.00000
177,122.37891,236.00000
178,121.00000,255.00000
179,122.37891,248.00000
180,110.25000,298.00000
181,110.25000,269.00000
182,110.25000,271.00000
183,122.29758,285.00000
184,121.00000,291.00000
185,121.00000,256.00000
186,122.29758,270.00000
187,122.29758,276.00000
188,121.00000,263.00000
189,122.29758,263.00000
190,121.00000,275.00000
191,122.29758,242.00000
192,121.00000,252.00000
193,110.25000,266.00000
194,106.77778,278.00000
195,105.06250,291.00000
196,104.04000,279.00000
197,104.04000,287.00000
198,105.06250,268.00000
199,104.04000,245.00000
200,104.04000,296.00000
201,104.04000,254.00000
202,105.06250,252.00000
203,105.06250,291.00000
204,104.04000,276.00000
205,105.06250,222.00000
206,104.04000,230.00000
207,103.36111,229.00000
208,103.36111,253.00000
209,103.36111,302.00000
210,103.36111,287.00000
211,105.06250,290.00000
212,104.04000,303.00000
213,104.04000,320.00000
214,105.06250,309.00000
215,106.77778,311.00000
216,110.25000,306.00000
217,121.00000,297.00000
218,121.00000,303.00000
219,122.37891,308.00000
220,122.37891,304.00000
221,122.47111,312.00000
222,122.47111,250.00000
223,122.47111,257.00000
224,122.47111,207.00000
225,122.47111,240.00000
226,122.47111,268.00000
227,122.57653,267.00000
228,122.47111,269.00000
229,122.69822,284.00000
230,122.57653,256.00000
231,122.57653,310.00000
232,122.57653,212.00000
233,122.47111,255.00000
234,122.69822,295.00000
235,122.69822,293.00000
236,122.37891,269.00000
237,122.47111,322.00000
238,122.57653,209.00000
239,122.37891,264.00000
240,122.47111,265.00000
241,122.37891,250.00000
242,122.47111,249.00000
243,122.37891,235.00000
244,121.00000,231.00000
245,122.29758,272.00000
246,122.37891,259.00000
247,121.00000,323.00000
248,121.00000,303.00000
249,121.00000,298.00000
250,122.29758,270.00000
251,122.29758,286.00000
252,122.29758,259.00000
253,122.29758,290.00000
254,121.00000,334.00000
255,122.29758,278.00000
256,122.37891,262.00000
257,122.47111,261.00000
258,122.29758,241.00000
259,122.29758,251.00000
260,122.37891,220.00000
261,122.47111,245.00000
262,122.37891,292.00000
263,122.47111,212.00000
264,122.47111,273.00000
265,122.57653,252.00000
266,122.57653,279.00000
267,122.57653,296.00000
268,122.57653,252.00000
269,122.57653,262.00000
270,122.57653,254.00000
271,122.69822,275.00000
272,122.69822,263.00000
273,122.57653,313.00000
274,122.57653,338.00000
275,122.47111,266.00000
276,122.47111,255.00000
277,122.47111,249.00000
278,122.57653,271.00000
279,122.37891,297.00000
280,122.29758,314.00000
281,122.37891,285.00000
282,122.47111,256.00000
283,122.47111,265.00000
284,122.47111,233.00000
285,122.57653,268.00000
286,122.37891,245.00000
287,122.37891,272.00000
288,122.69822,291.00000
289,122.37891,280.00000
290,122.37891,302.00000
291,122.29758,230.00000
292,122.37891,239.00000
293,122.47111,204.00000
294,122.47111,213.00000
295,122.47111,235.00000
296,122.69822,286.00000
297,122.69822,297.00000
298,122.84028,282.00000
299,123.00826,310.00000
300,122.84028,330.00000
301,123.00826,348.00000
302,123.00826,314.00000
303,123.21000,353.00000
304,123.45679,319.00000
305,123.76563,364.00000
306,124.16327,364.00000
307,124.69444,331.00000
308,125.44000,318.00000
309,126.56250,349.00000
310,128.44444,362.00000
311,132.25000,317.00000
312,144.00000,313.00000